1420665737,Abandoned connection cleanup thread,java.lang.Object.wait(Native Method),com.mysql.jdbc.AbandonedConnectionCleanupThread.run(AbandonedConnectionCleanupThread.java:41),(a java.lang.ref.ReferenceQueue$Lock)
1420665758,hybrisHTTP4164,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4166,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4167,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4169,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4171,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4173,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4174,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4175,sun.net.www.http.KeepAliveCache.get(KeepAliveCache.java:156),,
1420665758,hybrisHTTP4176,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4181,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4182,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4183,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4185,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4187,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4188,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4189,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4190,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4191,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4192,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4193,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4195,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4196,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4197,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4198,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4201,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4202,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4203,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4205,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4208,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4209,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4211,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4212,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4213,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4215,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4216,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4217,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
1420665758,hybrisHTTP4219,sun.net.www.http.KeepAliveCache.put(KeepAliveCache.java:80),sun.net.www.http.HttpClient.New(HttpClient.java:272),(a sun.net.www.http.KeepAliveCache)
